Location,FactoryScore,FloodRisk,FloodScore,ConnectivityScore,CrimeScore,HospitalScore,CollegeScore,MallScore,PowerScore,ServicesScore,CostScore,AvailablePlots
Adambakkam,8,Medium,6,5,7,4,6,6,9,9,6,6
Adyar,5,Low,9,2,6,4,4,5,5,5,3,3
Alandur,4,Low,8,4,10,7,7,8,9,6,5,5
Alapakkam,1,Medium,6,4,2,5,5,3,6,8,7,9
Alwarpet,4,Low,9,1,4,9,5,5,8,9,2,2
Alwarthirunagar,1,Low,8,3,1,5,5,6,8,5,6,6
Ambattur,4,Medium,3,3,8,6,6,7,6,5,8,15
Aminjikarai,10,Low,8,10,5,8,6,8,6,9,6,4
Anna Nagar,10,Low,9,9,2,9,5,7,7,4,5,5
Annanur,10,Medium,5,9,3,4,7,9,9,8,8,13
Arumbakkam,6,Medium,6,9,10,9,6,4,9,5,6,4
Ashok Nagar,7,Low,8,5,4,5,8,7,7,4,6,5
Avadi,2,Medium,1,6,9,5,9,7,9,8,8,20
Ayanavaram,9,Medium,6,6,8,9,5,3,9,4,7,6
Beemannapettai,2,High,3,9,10,8,8,3,7,9,8,3
Besant Nagar,2,Low,9,4,9,9,4,9,9,5,3,2
Basin Bridge,6,High,2,9,7,6,7,8,9,6,9,3
Chepauk,6,Medium,6,8,6,6,8,8,5,4,5,2
Chetput,5,Low,3,10,2,9,4,5,7,8,4,4
Chintadripet,10,Medium,5,7,1,5,8,6,7,6,6,3
Chitlapakkam,2,Medium,6,3,1,6,6,4,9,7,7,12
Choolai,7,Medium,6,9,8,6,6,6,6,5,7,3
Choolaimedu,9,Medium,6,2,5,9,9,7,8,7,6,5
Chrompet,3,Medium,6,10,5,9,9,8,7,9,7,14
Egmore,6,Low,8,4,4,6,9,6,8,9,4,4
Ekkaduthangal,1,Medium,6,2,9,8,7,4,6,5,6,5
Eranavur,5,High,2,1,2,4,8,8,9,9,9,11
Ennore,1,High,2,2,6,9,5,5,5,7,9,16
Foreshore Estate,7,Medium,6,2,8,8,9,8,7,5,4,2
Fort St. George,7,Medium,5,4,9,6,6,8,8,9,5,1
George Town,9,High,3,1,5,4,8,9,8,7,8,2
Gopalapuram,4,Low,9,8,8,4,6,3,7,9,3,3
Government Estate,4,Medium,6,3,7,5,5,4,8,8,5,1
Guindy,3,Medium,6,9,1,5,7,8,5,9,6,5
Guduvancheri,4,Medium,6,9,10,8,7,5,8,8,9,18
IIT Madras,5,Low,8,8,9,7,9,5,5,4,2,1
Injambakkam,6,Medium,6,2,1,7,8,4,5,6,6,12
ICF,1,Medium,6,2,3,5,7,5,6,8,7,5
Iyyapanthangal,2,Medium,5,8,3,4,8,3,5,5,8,16
Jafferkhanpet,6,Low,7,3,5,6,7,8,9,5,7,5
Kadambathur,1,Low,7,5,8,9,5,8,6,5,10,20
Karapakkam,9,Medium,6,9,4,7,6,5,7,6,6,14
Kattivakkam,2,High,3,5,10,4,7,4,9,7,9,15
Kattupakkam,3,Medium,5,8,10,6,8,4,6,9,8,13
Kazhipattur,6,Medium,6,2,5,4,6,3,6,8,7,17
K.K. Nagar,5,Low,9,6,9,5,5,7,9,6,5,6
Keelkattalai,8,Medium,6,9,8,4,4,8,5,4,7,10
Kilpauk,4,Low,9,6,3,7,8,9,8,7,4,4
Kodambakkam,9,Medium,7,1,9,7,8,6,6,8,6,5
Kodungaiyur,9,High,3,1,8,7,6,6,5,8,9,9
Kolathur,9,Medium,5,1,1,5,8,5,7,6,7,10
Korattur,10,Medium,6,4,8,7,8,9,5,6,7,8
Korukkupet,10,High,3,4,9,9,6,6,7,4,9,5
Kottivakkam,3,Low,8,3,5,4,4,5,7,5,4,8
Kotturpuram,3,Low,9,2,6,8,5,3,8,8,4,4
Kottur,8,Low,9,1,4,9,4,9,9,7,4,4
Kovur,7,Medium,5,10,4,4,6,5,8,5,9,15
Koyambedu,4,Medium,5,5,2,9,9,9,5,6,6,6
Kundrathur,7,Medium,5,3,2,8,4,7,7,8,8,17
Madhavaram,4,Medium,6,7,6,9,9,3,8,4,7,12
Madhavaram Milk Colony,1,Medium,5,2,4,9,9,6,7,8,7,11
Madipakkam,4,Medium,6,4,2,4,9,8,9,9,7,10
